grading                                                                                                                                                                                                                                                                                             operator,string_or_regex_pattern,cleaned_sentence,query
0          1                                                                                                                                                                                                                                                                                           as many as,as \w* as,"The US has 24 aircraft carriers, as many as the rest of the world combined.",is the usa an exceptional country
1          1                                                                                                                                                                                                                                                                                           as good as,as \w* as,Claiming that position X is as good as Y and therefore Y is better is irrational.,the existence of god
2          1                                                                                                                                                                                                                                                                                           as much as,as \w* as,"Studies such as this one show that rehabilitation of criminals using models like the principles of effective intervention decreased the chance of repeat offending by as much as 25%, when compared to a controlled group who did not undergo the same rehabilitation treatment program.",should the primary focus of prisons be rehabilitation or punishment
3          1                                                                                                                                                                                                                                                                                           as good as,as \w* as,"For example, a website with all required text boxes may be functional but not as good as a pre-filled form with 50% fields pre populated.",arranged marriages are better than love matches
4          1                                                                                                                                                                                                                                                                                           as long as,as \w* as,Mars takes about twice as long as Earth to orbit the Sun (687 days vs 365 days per year on Earth\),should humanity establish colonies on mars
5          1                                                                                                                                                                                                                                                                                        as healthy as,as \w* as,"Vegan diets have been proved as healthy as non vegan diets, even more so in some aspects 1] and the footprint of vegans is way smaller than meat eaters [[2\].",the ethics of eating animals is eating meat wrong
6          1                                                                                                                                                                                                                                                                                           as much as,as \w* as,"US Democrats elected to Congress are advised to spend as much as 4 hours a day making fundraising calls, and additional time doing fundraiser set-up and donor outreach events.",compulsory voting should voting be mandatory
7          1                                                                                                                                                                                                                                                                                           as many as,as \w* as,There are as many as 4200 religions in the world. Most of these diverge significantly from one another in terms of beliefs and practices.,does religion misguide people
8          1                                                                                                                                                                                                                                                                                           as high as,as \w* as,"The carbon dioxide emissions per capita in countries like Germany are thirteen times as high as in Afghanistan, five times as high as in Syria, and twice as high as in Iraq.",should high income countries take in refugees
9          1                                                                                                                                                                                                                                                                                           as many as,as \w* as,"The Japanese military slaughtered as many as 30 million Filipinos, Malays, Vietnamese, Cambodians, Indonesians and Burmese, of which at least 23 million of them were ethnic Chinese.",does god allow evil is the existence of god compatible with the existence of evil
10         1                                                                                                                                                                                                                                                                                            as low as,as \w* as,"Worldwide, age of consent goes as low as 11 (generally in line with puberty\); it isn't just a historical precedent, but a global precedent.",is pedophilia a sexual orientation
11         1                                                                                                                                                                                                                                                                                           as many as,as \w* as,"According to the DSM-V (p. 455), as many as 70% to 98% of natal boys and 50% to 88% of natal girls with Gender Dysphoria (GD\) eventually accept their biological sex after puberty, so GD was a temporary period of distress.",should women only spaces be open to anyone identifying as female
12         1                                                                                                                                                                                                                                                                                          as young as,as \w* as,"Gender has been shown in research to heavily influence preferences and behaviour even before social conditioning (at ages as young as 6 months\). Therefore, there are biological roots to gender preferences and behaviours that exist outside of cultural influences.",should governments make an effort to reduce the gender pay gap
13         1                                                                                                                                                                                                                                                                                         as useful as,as \w* as,"Because being given a 2 instead of a 0 is just as useful as being given a 9 instead of a 7, a candidate can gain more ground, potentially, by convincing opposed voters that they aren't terrible, than by energizing voters who agree with them.",the us should adopt a better voting system for single winner elections
14         1                                                                                                                                                                                                                                                                                           as well as,as \w* as,"Under Realpolitik, the US supported and expedited the Indonesian invasion of East Timor (which cost upwards of 100,000 lives) as well as the Bangladesh genocide (which cost upwards of 300,000 lives\) because these were considered to be in America's best national interest.",should high income countries take in refugees
15         1                                                                                                                                                                                                                                                                                          as young as,as \w* as,Right now (2019\) children as young as eight are involved in the drug trade. This would not be allowed in a regulated market.,all drugs should be legalized
16         1                                                                                                                                                                                                                                                                                           as much as,as \w* as,Banning conscientious objection will mean that people who oppose abortion may not enter the medical field. More than 4 in 10 Americans say having an abortion is morally wrong. We want the best doctors and nurses. Therefore we want the most possible applicants to medical and nursing school. We risk lowering applications by as much as 40% by banning conscience objection. Therefore the quality of health practitioners may decline if we ban conscientious objection.,should conscientious objection to abortion be banned
17         1                                                                                                                                                                                                                                                                                Pineapples are one of,.*?one of,Pineapples are one of the top 10 crops that uses the least amount of water to grow.,does pineapple belong on pizza
18         1                                                                                                                                                                                                                                               Theodicy problem can only be solved by ignoring one of,.*?one of,"Theodicy problem can only be solved by ignoring one of the three ""omni""",the existence of god
19         1                                                                                                                                                                                                                                                                                     The US is one of,.*?one of,The US is one of the largest trading blocs in the world.,the us should implement a tax on wealth on the super rich
"20         1                                                                                                                           There are an extensive number of studies that contradict this. Five other peer-reviewed studies found no higher than 36% of porn scenes contained violence. Indeed, one of",.*?one of,"There are an extensive number of studies that contradict this. Five other peer-reviewed studies found no higher than 36% of porn scenes contained violence. Indeed, one of the most recent studies indicated only 2% of scenes involved physical violence.",will sex robots advance sexual liberation
